%eval_id interface diff gb_saturation gb_sweeping crack ath EXP_39 EXP_29 EXP_42 EXP_41 EXP_3 EXP_40 EXP_38 EXP_26 EXP_1 EXP_43 EXP_7 EXP_9 EXP_8 EXP_4 EXP_19 EXP_10 EXP_17 EXP_25 EXP_45 EXP_6 EXP_2 EXP_16 EXP_13 EXP_14 EXP_11 EXP_15 EXP_12 EXP_5 EXP_18 EXP_44 EXP_28
1 NO_ID 13.3740333 4.752248474 0.6179960888 0.2535646277 9.145256564 0.1593345 0.04438056 0.227819 0.2469963 0.03592191 0.1464132 0.1869649 0.114127 0.04656283 0.05691529 0.1705501 0.1406065 0.170172 0.02287416 0.1283853 0.06773377 0.284551 0.09154143 0.02142559 0.04173565 0.05819944 0.1939892 0.1862192 0.263885 0.3071783 0.2118531 0.1984578 0.05832504 0.3297041 0.1172856 0.03514556
2 NO_ID 6.940979684 8.255839677 0.8789345245 0.5915229634 6.076739728 0.2317642 0.05347808 0.2833313 0.2959324 0.05606775 0.2075459 0.2550451 0.1173097 0.07077252 0.05549147 0.2059265 0.1684076 0.2410293 0.0350846 0.1305922 0.1042414 0.3179197 0.09101164 0.01917037 0.06066067 0.0960037 0.2234016 0.2151718 0.2857693 0.3637587 0.2706656 0.1779858 0.09641057 0.3643502 0.09937525 0.03668685
3 NO_ID 20.71497236 0.3266768876 0.1600706415 0.1661483703 9.428731796 0.3062444 0.07469817 0.3299624 0.3443571 0.1607476 0.2775445 0.3287531 0.177379 0.2296369 0.1014645 0.3183747 0.2865815 0.3325573 0.1943298 0.1399781 0.24797 0.3476923 0.1401196 0.03294009 0.2223395 0.2520601 0.2580846 0.2750599 0.3236764 0.4209621 0.2948136 0.2627022 0.226408 0.3925117 0.1461298 0.05695101
4 NO_ID 24.07115735 8.458144483 0.2890054433 0.03176117187 3.63115811 0.08291522 0.01148787 0.09382045 0.1265087 0.006583037 0.0391545 0.09708081 0.04845903 0.009797018 0.02334888 0.04637946 0.02938028 0.04218094 0.004448689 0.03778176 0.01294879 0.1155868 0.03847204 0.007003662 0.008189182 0.01199817 0.06217486 0.05722774 0.09823306 0.1053929 0.0705811 0.08164968 0.009074253 0.1515922 0.05545279 0.01000767
5 NO_ID 8.05499185 7.795809772 0.621300964 0.4843033954 5.896739224 0.2136848 0.04535739 0.2742996 0.2878316 0.04860158 0.1955123 0.2370256 0.1097481 0.06303696 0.05237659 0.1884167 0.1524756 0.2183032 0.03023161 0.1218722 0.08955993 0.3059005 0.08624899 0.01840976 0.05257893 0.08090254 0.2094659 0.2042977 0.2784381 0.3578847 0.2603673 0.1754597 0.08225237 0.351113 0.1026675 0.03401403
6 NO_ID 18.06390974 5.384067557 0.7973330272 0.5219963928 0.3646028155 0.2311534 0.04855292 0.2953514 0.3093395 0.05384382 0.2188346 0.2562581 0.1372063 0.07388303 0.06734184 0.2270187 0.19607 0.2508528 0.03548194 0.1381925 0.1064318 0.3321945 0.1035576 0.01759877 0.05775052 0.09938331 0.234756 0.2337505 0.3049083 0.3917072 0.2813094 0.201076 0.1052937 0.378061 0.1258028 0.03355653
7 NO_ID 13.89231571 3.373892573 0.7123510383 0.9409068351 9.554571156 0.2919465 0.07377677 0.3253469 0.3330712 0.08452009 0.2522915 0.3139773 0.1648835 0.1486153 0.09166254 0.2880652 0.2316528 0.3172657 0.05994509 0.154216 0.1786045 0.3513362 0.1307825 0.03122232 0.1106056 0.189108 0.2592395 0.2520942 0.3154094 0.4070525 0.2995302 0.2104792 0.162326 0.3966798 0.1315278 0.05668249
8 NO_ID 22.14147584 2.641278066 0.8453867821 0.4871081222 3.279493743 0.2379381 0.05942028 0.3036967 0.317049 0.05535661 0.2270505 0.2610808 0.1582589 0.08114416 0.08276536 0.2524933 0.2272512 0.2689264 0.03738391 0.15307 0.1325234 0.3464591 0.1225584 0.02347887 0.07804983 0.115268 0.2514247 0.2402428 0.3152173 0.4107801 0.2890069 0.2176487 0.1130574 0.3930982 0.1396567 0.04224559
9 NO_ID 20.48731402 7.963695038 0.6309936081 0.2256513289 1.965694701 0.1488278 0.03008996 0.2066458 0.2294012 0.02813804 0.1168149 0.1848638 0.09156156 0.04420002 0.04346142 0.1304904 0.1134204 0.1489865 0.01761889 0.1169896 0.05280947 0.2495238 0.07158479 0.01325409 0.02963905 0.04915301 0.1701388 0.1681968 0.2509947 0.2816215 0.2026788 0.1977085 0.05052452 0.2890655 0.1142738 0.02211283
10 NO_ID 6.144974867 3.810004483 0.1880602433 0.05667894733 4.310482509 0.09599846 0.01528213 0.150636 0.1674302 0.008601388 0.0835124 0.1175238 0.05993373 0.0124524 0.02524434 0.07307397 0.04894064 0.08388346 0.005544879 0.03867957 0.01710555 0.1670402 0.04462815 0.007517923 0.01034985 0.01630551 0.08739997 0.0834408 0.1432434 0.1961135 0.1181541 0.08953276 0.01143057 0.2141471 0.05743716 0.01171236
11 NO_ID 21.86894775 4.463450793 0.2649626899 0.7232103942 1.594109642 0.264211 0.06114518 0.315531 0.326188 0.0716267 0.2422006 0.2891712 0.161623 0.09995772 0.08570968 0.2712018 0.2226096 0.3003665 0.04836166 0.1355487 0.1473911 0.3384021 0.1243473 0.02415346 0.08726431 0.1518824 0.2450682 0.2459851 0.3086013 0.417629 0.2908507 0.2057497 0.1420938 0.3842251 0.1365309 0.04365261
12 NO_ID 8.584663287 9.172846057 0.1105067059 0.01190550121 5.348783202 0.03656146 0.01114831 0.06083607 0.07511732 0.004838167 0.02598538 0.0427944 0.02886041 0.00521569 0.01167261 0.02636403 0.01457601 0.02644278 0.003612861 0.02026122 0.00805498 0.08107275 0.02435844 0.007818861 0.007031386 0.006703463 0.03774908 0.03329342 0.05958811 0.07133267 0.04439979 0.03522108 0.004951209 0.1155988 0.02575137 0.01077672
13 NO_ID 36.57803967 8.296665042 0.3562798412 0.7590943876 4.331025905 0.2829124 0.07775195 0.3375427 0.3496909 0.07976392 0.268054 0.3076628 0.1896609 0.1374578 0.1062119 0.3046042 0.249441 0.3278903 0.05773022 0.1682403 0.186867 0.3672419 0.152202 0.03603556 0.1083247 0.1741756 0.2798884 0.2802716 0.3375713 0.4366263 0.3183446 0.2400531 0.1648544 0.4091977 0.1597321 0.05833026
14 NO_ID 30.28437954 8.13168124 0.1273794081 0.8702390083 6.742098607 0.2931058 0.0806393 0.3395708 0.3495942 0.08704584 0.2703592 0.3186847 0.1889056 0.1582633 0.1090574 0.3088508 0.2462949 0.335393 0.06263719 0.160142 0.1971227 0.360699 0.1516071 0.03729314 0.1186383 0.202535 0.2740878 0.2740799 0.3310594 0.4411272 0.3124966 0.2335201 0.1788797 0.4032432 0.1556427 0.06157817
15 NO_ID 12.42344466 7.395747244 0.4713224592 0.7985260939 6.418187848 0.2660262 0.06272665 0.3063692 0.3167147 0.07227116 0.2343981 0.2912487 0.1490023 0.1122455 0.07824491 0.2586128 0.2012441 0.2941772 0.04914826 0.133762 0.1497532 0.3276706 0.1169171 0.02476134 0.08937871 0.1524227 0.236656 0.232261 0.296218 0.3969142 0.2798688 0.1928492 0.1384772 0.3725072 0.1207178 0.04741469
