case,campaign,kr,xe,kr_xe
EXP_1,UNKNOWN,4.6,4.8,
EXP_2,UNKNOWN,4.7,5.0,
EXP_3,UNKNOWN,1.7,1.6,
EXP_4,UNKNOWN,2.3,2.2,
EXP_5,UNKNOWN,5.5,5.8,
EXP_6,UNKNOWN,3.4,3.7,
EXP_7,UNKNOWN,9.6,10.4,
EXP_8,UNKNOWN,13.9,16.0,
EXP_9,UNKNOWN,6.2,6.6,
EXP_10,UNKNOWN,3.4,3.5,
EXP_11,UNKNOWN,24.2,29.6,
EXP_12,UNKNOWN,,,8.5
EXP_13,UNKNOWN,,,13.6
EXP_14,UNKNOWN,,,22.1
EXP_15,UNKNOWN,,,13.0
EXP_16,UNKNOWN,,,28.0
EXP_17,UNKNOWN,,,32.1
EXP_18,UNKNOWN,,,44.9
EXP_19,UNKNOWN,,,9.5
EXP_20,UNKNOWN,,,10.4
EXP_21,UNKNOWN,,,10.8
EXP_22,UNKNOWN,,,16.2
EXP_23,UNKNOWN,,,29.0
EXP_24,UNKNOWN,,,28.4
EXP_25,UNKNOWN,,,3.5
EXP_26,UNKNOWN,,,6.7
EXP_27,UNKNOWN,,,6.1
EXP_28,UNKNOWN,2.5,1.8,
EXP_29,UNKNOWN,2.2,1.5,
EXP_30,UNKNOWN,,,1.6
EXP_31,UNKNOWN,,,0.8
EXP_32,UNKNOWN,,,5.2
EXP_33,UNKNOWN,,,7.0
EXP_34,UNKNOWN,2.4,2.4,
EXP_35,UNKNOWN,2.6,1.8,
EXP_36,UNKNOWN,3.8,3.6,
EXP_37,UNKNOWN,,,19.6
EXP_38,UNKNOWN,,,13.0
EXP_39,UNKNOWN,,,22.8
EXP_40,UNKNOWN,,,17.3
EXP_41,UNKNOWN,,,25.3
EXP_42,UNKNOWN,,,26.5
EXP_43,UNKNOWN,,,1.8
EXP_44,UNKNOWN,,,2.9
EXP_45,UNKNOWN,,,0.9
